region,caseNumber,caseNumberFull,consulate,status,submitDate,statusDate,Issued,AP,Ready,Refused,Refused221g,InTransit,Transfer,NVC,2nlDate
AS,10075,2023AS10075,RNG,Ready,08-Nov-2021,18-Jan-2023,0,0,1,0,0,0,0,0,01-Jan-2023
AS,10078,2023AS10078,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10084,2023AS10084,ISL,Ready,20-Oct-2021,21-Feb-2023,0,0,6,0,0,0,0,0,23-Jan-2023
AS,10085,2023AS10085,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10086,2023AS10086,AMM,Issued,22-Oct-2021,16-Feb-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AS,10087,2023AS10087,KDU,Ready,07-Oct-2021,21-Feb-2023,0,0,1,0,0,0,0,0,15-Feb-2023
AS,10089,2023AS10089,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10090,2023AS10090,BNK,Ready,04-Nov-2021,17-Feb-2023,0,0,1,0,0,0,0,0,15-Feb-2023
AS,10091,2023AS10091,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10094,2023AS10094,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10095,2023AS10095,KDU,Ready,24-Oct-2021,21-Feb-2023,0,0,1,0,0,0,0,0,15-Feb-2023
AS,10097,2023AS10097,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10098,2023AS10098,KDU,Ready,02-Nov-2021,21-Feb-2023,0,0,1,0,0,0,0,0,15-Feb-2023
AS,10099,2023AS10099,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10101,2023AS10101,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10107,2023AS10107,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10108,2023AS10108,KDU,Ready,28-Oct-2021,21-Feb-2023,0,0,5,0,0,0,0,0,15-Feb-2023
AS,10110,2023AS10110,KDU,Ready,09-Oct-2021,21-Feb-2023,0,0,1,0,0,0,0,0,15-Feb-2023
AS,10111,2023AS10111,KDU,Ready,25-Oct-2021,21-Feb-2023,0,0,1,0,0,0,0,0,15-Feb-2023
AS,10115,2023AS10115,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10117,2023AS10117,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10118,2023AS10118,KDU,Ready,29-Oct-2021,21-Feb-2023,0,0,2,0,0,0,0,0,15-Feb-2023
AS,10121,2023AS10121,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10122,2023AS10122,KLL,Ready,19-Oct-2021,17-Feb-2023,0,0,4,0,0,0,0,0,01-Jan-2023
AS,10123,2023AS10123,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10125,2023AS10125,BMB,AP,14-Oct-2021,21-Feb-2023,0,2,0,0,1,0,0,0,01-Jan-2023
AS,10128,2023AS10128,KDU,Ready,09-Nov-2021,21-Feb-2023,0,0,3,0,0,0,0,0,15-Feb-2023
AS,10129,2023AS10129,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10130,2023AS10130,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10133,2023AS10133,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10135,2023AS10135,KDU,Ready,24-Oct-2021,21-Feb-2023,0,0,1,0,0,0,0,0,15-Feb-2023
AS,10136,2023AS10136,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10137,2023AS10137,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10142,2023AS10142,KDU,Ready,08-Oct-2021,21-Feb-2023,0,0,1,0,0,0,0,0,15-Feb-2023
AS,10144,2023AS10144,KDU,Ready,05-Nov-2021,21-Feb-2023,0,0,1,0,0,0,0,0,15-Feb-2023
AS,10145,2023AS10145,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10146,2023AS10146,KDU,Ready,09-Nov-2021,21-Feb-2023,0,0,1,0,0,0,0,0,15-Feb-2023
AS,10147,2023AS10147,PHP,Refused221g,02-Nov-2021,09-Feb-2023,0,0,2,0,1,0,0,0,01-Jan-2023
AS,10148,2023AS10148,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10150,2023AS10150,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10151,2023AS10151,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10155,2023AS10155,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10158,2023AS10158,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10159,2023AS10159,AMM,Issued,29-Oct-2021,15-Feb-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AS,10162,2023AS10162,KDU,Ready,26-Oct-2021,21-Feb-2023,0,0,1,0,0,0,0,0,15-Feb-2023
AS,10169,2023AS10169,KDU,Ready,22-Oct-2021,21-Feb-2023,0,0,1,0,0,0,0,0,15-Feb-2023
AS,10170,2023AS10170,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10172,2023AS10172,KDU,Ready,05-Nov-2021,21-Feb-2023,0,0,3,0,0,0,0,0,15-Feb-2023
AS,10176,2023AS10176,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10177,2023AS10177,KDU,Ready,30-Oct-2021,21-Feb-2023,0,0,1,0,0,0,0,0,15-Feb-2023
AS,10179,2023AS10179,KDU,Ready,24-Oct-2021,21-Feb-2023,0,0,3,0,0,0,0,0,15-Feb-2023
AS,10180,2023AS10180,KDU,Ready,07-Oct-2021,21-Feb-2023,0,0,2,0,0,0,0,0,15-Feb-2023
AS,10186,2023AS10186,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10188,2023AS10188,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10189,2023AS10189,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10191,2023AS10191,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10193,2023AS10193,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10195,2023AS10195,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10196,2023AS10196,KDU,Ready,25-Oct-2021,21-Feb-2023,0,0,1,0,0,0,0,0,15-Feb-2023
AS,10198,2023AS10198,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10199,2023AS10199,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10200,2023AS10200,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10201,2023AS10201,LND,Ready,09-Oct-2021,02-Feb-2023,0,0,2,0,0,0,0,0,19-Jan-2023
AS,10204,2023AS10204,KDU,Ready,20-Oct-2021,21-Feb-2023,0,0,3,0,0,0,0,0,15-Feb-2023
AS,10205,2023AS10205,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10206,2023AS10206,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10209,2023AS10209,None,InTransit,None,None,0,0,0,0,0,1,0,0,16-Feb-2023
